SAMPLE,SITE,AGE,CLASS,LABEL,TREE,SITE.TREE,CLASS.TREE,SITE.TREE.N,WT_MG,d13C,d15N,Cumol,Numol,CN,PCT_C,PCT_N,PctMoist,SLAgm2,SLAkgm2,SLAkgha,CMASStree_gm2,NMASStree_gm2,CMASStree_kgha,NMASStree_kgha
S02.MZ.2.1,S02,10,C02,10-24,MZ,S02.MZ,C02.MZ,S02.MZ.2,4.19,-26.54106769,1.132846934,166.2341307,4.044345972,41.10284625,47.60882024,1.351332783,37.5,159.1549431,0.159154943,1591.549431,75.77179076,2.150712922,757.7179076,21.50712922
S02.MZ.2.2,S02,10,C02,10-24,MZ,S02.MZ,C02.MZ,S02.MZ.2,3.24,-26.71931109,0.201219674,127.3755614,3.089724215,41.22554395,47.17613386,1.335066019,44.11764706,151.1971959,0.151197196,1511.971959,71.32899153,2.018582384,713.2899153,20.18582384
S07.MN.1.1,S07,100,VIL,MATURE,MN,S07.MN,VIL.MN,S07.MN.1,3.77,-28.54601969,0.118406462,152.807755,11.15263854,13.70148906,48.6390732,4.141563385,42.85714286,76.39437268,0.076394373,763.9437268,37.15751485,3.163921367,371.5751485,31.63921367
S07.MN.1.2,S07,100,VIL,MATURE,MN,S07.MN,VIL.MN,S07.MN.1,3.1,-28.57133665,-0.654308971,128.214996,7.834305289,16.36584117,49.63161136,3.538073356,40.90909091,82.76057041,0.08276057,827.6057041,41.07540467,2.928129691,410.7540467,29.28129691
S07.MN.1.3,S07,100,VIL,MATURE,MN,S07.MN,VIL.MN,S07.MN.1,3.48,-27.88403537,0.05217829,143.4347241,9.841360596,14.57468434,49.4602497,3.959168056,41.66666667,89.12676813,0.089126768,891.2676813,44.08232207,3.528678533,440.8232207,35.28678533
S07.MN.2.1,S07,100,VIL,MATURE,MN,S07.MN,VIL.MN,S07.MN.2,3.12,-27.25507505,-1.294559846,130.8481655,7.81716735,16.73856522,50.32621751,3.507703298,34.7826087,95.49296586,0.095492966,954.9296586,48.05799771,3.349609913,480.5799771,33.49609913
S07.MN.2.2,S07,100,VIL,MATURE,MN,S07.MN,VIL.MN,S07.MN.2,3.29,-27.05618883,-1.342762328,120.9028638,6.363603773,18.99911876,44.09830898,2.707916499,40.90909091,82.76057041,0.08276057,827.6057041,36.49601206,2.241087141,364.9601206,22.41087141
S07.MN.2.3,S07,100,VIL,MATURE,MN,S07.MN,VIL.MN,S07.MN.2,3.51,-27.17565794,-1.340578995,143.288319,7.594878774,18.86656035,48.99211077,3.029534688,41.66666667,89.12676813,0.089126768,891.2676813,43.66508497,2.700126356,436.6508497,27.00126356
S07.MT.2.1,S07,100,VIL,MATURE,MT,S07.MT,VIL.MT,S07.MT.2,2.885,-26.02931266,2.000709399,127.7778798,6.406920694,19.95063971,53.14488555,3.107900204,42.10526316,71.45732139,0.071457321,714.5732139,37.97591167,2.220822237,379.7591167,22.20822237
S07.MT.2.2,S07,100,VIL,MATURE,MT,S07.MT,VIL.MT,S07.MT.2,3.45,-26.20848816,1.579908889,146.6560981,7.76578609,18.88490057,51.01081673,3.151333486,29.16666667,110.4340421,0.110434042,1104.340421,56.33330683,3.480144948,563.3330683,34.80144948
